name,price,rating,number of review
Pacific Eatery and Catering,2,3.5,34
The Old Mohawk,2,4.0,281
Rusty Bucket Restaurant & Tavern,2,3.0,37
Whole Foods Market,2,4.0,136
The Hills Market Downtown,2,3.5,75
Lucky Dragon,2,3.5,79
The Olive Tree Mediterranean Café,2,4.5,360
Joey Chang's,2,3.5,111
Tio's Margaritas,2,3.0,47
China Dynasty,2,3.0,98
Yanni's Greek Grill,1,4.5,240
Asian Express,1,3.5,44
Zoup!,1,3.0,32
Popeyes Louisiana Kitchen,1,3.5,10
Golden Corral,2,3.0,24
La Casita,2,3.5,146
Don Tequila Mexican Grill,2,3.5,51
BJ's Restaurant & Brewhouse,2,3.5,275
Hickory House Restaurant,2,4.0,99
FUSIAN,1,4.5,100
Los Galapagos,2,4.5,57
Asian Grocery & Seafood Market,1,4.0,4
Brio Tuscan Grille,2,3.5,263
China Chef,1,3.5,10
Mr. Pot,2,3.5,50
94th Aero Squadron Restaurant,2,2.5,115
Tensuke Market,2,4.5,185
Zen Cha Tea Salon,2,4.0,248
Whole Foods Market,2,4.0,75
FUSIAN,1,4.0,109
Daruma Japanese Steakhouse and Sushi,2,4.5,227
Oodles Noodles & Dumpling Bar,1,3.0,87
Fresh Thyme Farmers Market,2,4.0,47
Restaurant Tora,2,4.0,156
Charritos,1,4.0,99
Giuseppe's Ritrovo,2,3.5,127
The Cheesecake Factory,2,3.0,234
Union Cafe,2,3.5,309
Fortune Chinese Restaurant,2,3.0,78
Oscar's,2,3.5,113
Gallerie Bar & Bistro,3,3.5,91
Kroger Food and Pharmacy,2,3.0,80
J Liu Restaurant & Bar,2,3.0,124
Sunrise Asian Market,1,3.5,26
China City Buffet,1,2.5,29
General Tso's Chinese Restaurant,2,3.5,70
Ena's Caribbean Kitchen,1,4.0,169
Chi Thai,2,4.0,130
Asian Gourmet & Sushi Bar,2,4.0,113
Giant Eagle Market District,2,4.0,131
Billy Lee's Chinese Cuisine,2,3.5,44
Gordon Biersch Brewery Restaurant,2,3.0,178
Saraga International Grocery,1,4.0,99
Sakana Sushi Asian Fusion,2,4.0,92
Indochine Cafe,1,4.5,403
Casa Hacienda grill,2,4.0,38
Firefly American Bistro,2,4.0,73
Kroger Food and Pharmacy,2,2.5,8
Bon Vie,2,3.5,194
Carfagna's Kitchen,2,3.5,171
Supreme Buffet & Hibachi,2,2.5,138
Olive Garden Italian Restaurant,2,3.5,47
Yin Yue Restaurant,1,3.5,28
Due Amici,2,3.5,226
Giant Eagle Market District,2,3.5,86
M & M Chicken & Fish,1,2.5,6
Buckeye Pho,1,4.0,405
Red Lobster,2,3.0,18
Nada,2,4.0,461
Epic Buffet at Hollywood Casino,2,2.5,45
Salateen Grill,2,4.0,86
KISSHO Asian Bistro & Sushi Bar,2,4.0,66
Cap City Fine Diner & Bar,2,4.0,202
Koble Grill,2,4.0,140
Bravo Cucina Italiana,2,3.5,146
Siam Express,1,3.0,10
Spagio Wine Lounge,2,4.0,38
Olive Garden Italian Restaurant,2,3.5,54
Thai Mango Asian Bistro,1,3.5,80
Chile Verde,2,4.0,235
Fiesta Bar & Grill,2,3.5,24
Olive Garden Italian Restaurant,2,3.5,55
The Old Bag of Nails Pub,2,4.0,94
Kroger Food and Pharmacy,2,3.5,50
Tensuke Express,1,4.0,313
Scali Ristorante & Deli,2,4.5,134
Tai's Asian Bistro,1,4.0,312
Mi Tradicion,2,4.5,172
Eastern Bay,2,3.0,49
Hunan Lion,2,4.0,131
Panda House,2,4.0,63
The Melting Pot - Columbus,3,3.5,147
China Dynasty Chinese Restaurant,2,3.5,37
Kooma sushi Restaurant,2,3.5,137
Hunan House Chinese Restaurant,2,4.0,92
Eat Greek,2,4.5,126
Cardone's Restaurant & Bar,2,4.0,60
Champps Restaurant & Bar,2,2.5,140
Popeyes Louisiana Kitchen,1,3.0,15
Carrabba's Italian Grill,2,3.5,59
Nida's Thai on High,2,3.5,280
LongHorn Steakhouse,2,3.5,50
House of Japan,2,3.0,97
Golden Chopsticks Chinese Food,1,3.0,29
Sushi En,2,3.5,114
Happy House Chinese Retaurant,1,3.0,79
Poblano's Mexican Restaurant,2,3.5,44
Bahn Thai,2,3.5,129
Yau's Chinese Bistro,1,3.5,141
Third and Hollywood,3,4.5,440
Flatiron Bar & Diner,2,3.5,187
Pokébap,2,4.5,159
Kihachi Japanese Restaurant,3,4.0,155
Joy's Village,1,4.0,72
Eat Greek,1,4.5,34
O'Charley's Restaurant & Bar,2,3.0,53
Moretti's Of Arlington,2,3.5,92
El Vaquero Mexican Restaurant,2,3.0,155
Wild Ginger,2,4.5,199
Pho Chef,1,3.5,135
Local Roots,2,4.0,255
Mezzo,2,4.0,127
Starliner Diner,2,4.0,475
Brio Tuscan Grille,2,3.5,89
BD's Mongolian Grill,2,3.0,114
BD's Mongolian Grill,2,3.0,111
Ying's Teahouse & Yum-Yum,2,3.5,109
Barrel & Boar Creekside,2,4.0,189
Zapatas Mexican Kitchen,2,3.0,49
Vittoria Ristorante & Bar,3,4.0,107
Abuelo's,2,3.5,177
Los Guachos Taqueria,1,4.5,676
Spaghetti Warehouse,2,3.0,264
Signatures Mills Stone Tavern,2,3.5,62
Silk Road Asian Cuisine,2,4.0,26
Orient Express,1,3.5,16
China Buffet,1,2.0,10
The Wine Bistro,2,4.0,91
La Chatelaine,2,3.5,154
TGI Fridays,2,2.5,51
Ba Sho Japanese Resturant,2,4.0,66
Mediterranean on 33,2,4.0,52
El Sabor de Mi Tierra,1,2.5,8
The Fresh Market,3,3.5,43
Asian Buffet,2,3.0,43
Mellow Mushroom,2,3.5,181
Matt The Miller's Tavern,2,4.0,251
Yamato,2,4.5,52
Asian Taste,2,4.0,69
Sunflower Chinese Restaurant,2,3.0,247
Golden Corral-Columbus,2,1.5,49
Hong Kong Restaurant,1,3.0,33
Giant Eagle,2,3.5,39
1808 American Bistro,2,4.0,167
El Vaquero Mexican Restaurant,2,3.0,42
The Old Bag of Nails,2,3.5,106
Habaneros Fresh Mexican Grill,1,4.5,150
Jason's Deli,1,4.0,65
Thai Paradise,2,4.0,237
China Phoenix,2,3.5,35
Anna's Greek Cuisine,2,4.0,137
Cimi's Bistro,2,3.5,49
BD's Mongolian Grill,2,3.5,108
Mr Sushi,2,4.0,155
Gahanna Grill,2,3.5,100
J Liu Restaurant & Bar,2,3.5,132
Sam's Club,2,3.0,19
Beef 'O' Brady's,2,3.0,37
Lucky House Chinese Restaurant,2,3.5,91
Mark Pi's Feast Of The Dragon,1,3.0,45
La Scala,2,3.0,103
Buca di Beppo Italian Restaurant,2,2.5,169
Mellow Mushroom,2,3.5,167
Moshi Sushi Bar,2,3.5,101
Whole Foods Market,2,3.5,98
Shorty's,1,4.0,36
LongHorn Steakhouse,2,3.5,52
Cafe China,2,4.0,30
LongHorn Steakhouse,2,3.5,66
China House,1,4.0,17
Chinese Express,1,3.5,31
Giant Eagle,3,2.5,11
Kroger,2,3.0,20
Ding Ho Restaurant,2,3.0,74
Tres Potrillos Galloway,2,3.5,61
Genji Japanese Steakhouse - Reynoldsburg,2,3.0,49
Panda Wok,1,3.5,27
Siam Orchid Thai Restaurant,2,4.0,138
Red Brick Tavern,2,3.5,29
Fresh Thyme Farmers Market,2,4.0,23
Ming Flower Chinese Restaurant,2,3.0,40
Fresh Thyme Farmers Market,2,3.5,18
Ann & Tony's Restaurant,2,3.5,64
Super Wok,1,3.0,14
Rancho Alegre - Upper Arlington,2,3.0,62
Kanji Japanese Steakhouse & Sushi Bar,2,3.0,37
Long John Silver's,1,2.5,5
New China Express,1,3.5,15
Lunada Mexican Grill & Cantina,2,3.5,142
Happy Dragon,1,3.0,23
Giant Eagle,2,2.0,18
P.F. Chang's,2,3.0,94
Long John Silver's,1,2.5,3
Taj Palace,2,4.0,90
Sesame Sea Asian Bistro,2,4.5,150
Chen's Kitchen,1,3.0,61
Benihana,2,2.5,150
El Burrito Loco,1,4.0,35
The Old Bag of Nails Pub,2,3.0,65
Scrambler Marie's,2,3.0,40
Peking House,1,3.5,20
Asian Garden Buffet,1,2.5,44
New China Express,1,4.0,42
Lantern Chinese Restaurant,2,4.0,45
Señor Antonio's,2,3.5,103
Olive Garden Italian Restaurant,2,3.0,45
Omezzo,2,4.0,108
Aab India Restaurant,2,4.0,491
Saigon Asian Bistro,2,4.0,138
Kroger,2,3.5,38
OPA Grill & Tavern,2,4.0,87
Hellas Carryout,1,3.0,58
Cazuela's Grill,2,3.0,142
Tanuki,2,3.5,52
Q2 China Bistro,2,4.0,73
Mr Sushi,2,3.5,125
Olive Garden Italian Restaurant,2,3.0,49
Asian Star China Buffet,1,3.0,58
Thai Grille,2,4.0,285
Scramblers,1,3.5,33
Asahi Japenese Steakhouse,2,4.0,21
Grand China,1,3.5,47
Giant Eagle,2,3.0,20
Stir Fresh Asian Canteen,2,4.0,29
Caribbean Jerks,2,3.0,46
Ty Ginger Asian Bistro,2,3.5,149
Mr O Kitchen,1,3.5,23
Giammarco's Italian Restaurant,2,3.5,160
Mellow Mushroom,2,3.5,88
Jason's Deli,1,4.0,92
Menya Ramen,2,4.0,215
Kraft House No. 5,2,3.5,206
Great Asian Restaurant,2,4.0,81
China Bell Restaurant,2,3.5,61
Azteca Mexican Grill,2,3.5,57
Dragon China,1,3.5,10
La Chatelaine French Bakery & Bistro,2,3.5,77
China Buffet,1,3.0,13
Zoup!,1,4.0,72
China Bistro,1,3.5,22
Ruby Tuesday,2,2.5,41
Tian Fu Buffet,1,3.5,42
Hunan J Restaurant,2,4.0,26
La Cascada Crazy Burrito,2,3.5,46
Shi Chi Japanese Restaurant,2,3.5,79
A & J Wingburger,2,4.0,57
Windchimes Chinese Restaurant,2,3.5,94
Popeyes Louisiana Kitchen,1,2.5,15
Park to Shop,2,3.5,18
Popeyes Louisiana Kitchen,1,3.0,13
Casa Patron,2,3.5,105
Asian Star,1,3.0,63
Bob Evans,1,2.5,28
La Fogata Grill,2,4.0,118
Giant Eagle,2,2.5,23
Fugu Sushi,2,4.5,103
Sushi.com,2,4.5,114
Dragon House,2,3.0,45
Tres Potrillos,2,4.0,45
Golden China,1,3.0,8
Buns Restaurant,2,2.5,116
Der Dutchman - Plain City,2,3.5,166
Fiesta Grande,2,3.5,28
Olive Garden Italian Restaurant,2,3.0,23
Las Margaritas,2,3.5,63
Typhoon Asian Fusion Bistro,2,4.0,112
The Old Bag of Nails Pub,2,3.0,68
Thai Orchid Restaurant,2,3.5,43
Golden Corral,2,3.0,12
Kogen's,2,3.0,104
Great Wall Chinese Restaurant,1,3.0,18
Golden Corral,2,1.5,40
Dragon House,1,3.5,30
Giant Eagle,2,3.0,13
Happy Wok,2,3.5,21
